cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,0.1,195.3125,0.09333927272727273,0.09333927272727273,145.54545454545453,145.54545454545453,6.545454545453522e-06,0.0
3,64,0.1,195.3125,0.09333927272727273,0.09333927272727273,145.54545454545453,145.54545454545453,6.545454545453522e-06,0.0
5,64,0.1,195.3125,0.09309090909090909,0.09309090909090909,145.45454545454547,145.45454545454547,0.0,0.0
7,64,0.1,195.3125,0.09309090909090909,0.09309090909090909,145.45454545454547,145.45454545454547,0.0,0.0
1,256,0.1,48.828125,0.08365781818181818,0.08365781818181818,40.81818181818182,40.81818181818182,6.545454545453522e-06,0.0
3,256,0.1,48.828125,0.07859818181818182,0.07859818181818182,38.36363636363636,38.36363636363636,0.010112727272727273,4.909090909090914
5,256,0.1,48.828125,0.08098909090909091,0.08098909090909091,39.54545454545455,39.54545454545455,0.004840727272727274,2.3636363636363598
7,256,0.1,48.828125,0.08340945454545455,0.08340945454545455,40.72727272727273,40.72727272727273,0.0,0.0
1,512,0.1,24.4140625,0.07087490909090909,0.07087490909090909,17.31818181818182,17.31818181818182,0.0012378181818181733,0.2727272727272698
3,512,0.1,24.4140625,0.06888727272727273,0.06888727272727273,16.81818181818182,16.81818181818182,0.0052130909090908895,1.2727272727272698
5,512,0.1,24.4140625,0.06665309090909091,0.06665309090909091,16.272727272727273,16.272727272727273,0.009681454545454535,2.3636363636363615
7,512,0.1,24.4140625,0.06634290909090909,0.06634290909090909,16.227272727272727,16.227272727272727,0.010805090909090903,2.6363636363636385
1,1518,0.1,8.234519104084322,0.120888,0.120888,9.954545454545453,9.954545454545453,0.023183999999999982,1.9090909090909083
3,1518,0.1,8.234519104084322,0.08335200000000001,0.08335200000000001,6.863636363636363,6.863636363636363,0.07176,5.909090909090909
5,1518,0.1,8.234519104084322,0.08954654545454546,0.08954654545454546,7.409090909090908,7.409090909090908,0.04661309090909092,3.909090909090909
7,1518,0.1,8.234519104084322,0.12555236363636363,0.12555236363636363,10.40909090909091,10.40909090909091,0.018774545454545433,1.545454545454545
