cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,50,97656.25,1.1384043636363634,1.1586332121212122,1778.4545454545455,1810.232323232323,0.48432796957794705,756.8381626803301
2,64,50,97656.25,0.0,0.00011038383838383838,0.0,0.04040404040404041,0.0002468643356259887,0.09034618090908242
3,64,50,97656.25,0.0,8.315151515151515e-05,0.0,0.0303030303030303,0.00023521498674790528,0.08570991287109667
4,64,50,97656.25,0.0,0.00011038383838383838,0.0,0.04040404040404041,0.0002468643356259887,0.09034618090908242
