p,rate,pktsz,lat_median,lat_99th,mean_tput
0,0.1,64,2223903.0,4008283.4000000004,0.09048193939393939
0,1,64,2116066.0,4232828.850000014,0.9414864646464647
0,10,64,2101524.5,4063771.06,9.357056242424242
0,100,64,504242074.0,799601147.1,1.5226869494949495
0.01,0.1,64,2284859.0,4781552.84,0.09095523232323233
0.01,1,64,1988430.0,4824045.639999991,0.9522421818181819
0.01,10,64,1774940.0,4374847.319999999,9.418444363636363
0.01,100,64,78228948.0,706033239.3999994,6.699144808080808
0.05,0.1,64,2378639.0,6332247.880000001,0.0920930909090909
0.05,1,64,2033675.0,6467799.999999998,0.9537526464646464
0.05,10,64,2154865.5,16212566.449999921,9.397324363636365
0.05,100,64,82312977.5,749111725.5900006,5.000563151515152
0.1,0.1,64,2422742.5,8364630.829999997,0.0928840404040404
0.1,1,64,2054445.5,8396878.150000004,0.9572287676767677
0.1,10,64,2171659.0,793279814.77,9.183013656565656
0.1,100,64,87959120.5,703927517.6899995,6.088922585858586
0.25,0.1,64,2465653.5,14717009.629999995,0.09309090909090909
0.25,1,64,1962161.5,14191932.470000014,0.9605793131313133
0.25,10,64,1754891.0,930745046.8199999,8.227647272727273
0.25,100,64,106202143.0,805748778.9900001,5.3642923636363635
0.5,0.1,64,2980238.0,23477925.78,0.09317478787878788
0.5,1,64,2657395.0,27016094.799999584,0.9607912727272727
0.5,10,64,1331747.0,399575658.03999996,6.209564282828282
0.5,100,64,82970178.0,1047521769.1600001,4.589575595959597
1,0.1,64,35056061.0,38765122.940000005,0.09320202020202022
1,1,64,18683184.0,194161851.00000018,0.9608637575757576
1,10,64,171267502.0,418378311.0999998,1.837235717171717
1,100,64,224169047.0,1176167711.6000001,0.8144332121212121
