p,rate,pktsz,lat_median,lat_99th,mean_tput
0,0.1,64,374148.5,716633.06,0.08782545454545454
0,0.1,256,394892.5,649358.0,0.08201309090909092
0,0.1,512,393824.0,639581.9,0.0687010909090909
0,0.1,1518,486021.0,746907.6,0.11604254545454545
0,1,64,368292.0,712156.0700000001,0.9609465454545455
0,1,256,392029.5,695804.9100000001,0.9296679999999999
0,1,512,412734.0,705804.22,0.9485963636363637
0,1,1518,587999.5,1091010.84,0.873264
0,10,64,351563.0,702099.4000000001,9.551796363636365
0,10,256,395618.0,704632.5199999999,9.351200727272726
0,10,512,409229.5,711910.19,9.694054545454545
0,10,1518,645291.0,1200908.0499999945,9.173936363636365
0,100,64,176189.0,401294.83999999997,95.91764363636364
0,100,256,355110.0,697658.2400000001,93.43360618181819
0,100,512,401845.0,720089.5000000002,97.04125127272727
0,100,1518,634503.5,6326646.639999965,96.01555781818183
0.01,0.1,64,441709.0,971607.69,0.09321672727272727
0.01,0.1,256,435512.0,1199724.92,0.08340945454545455
0.01,0.1,512,422233.0,638299.26,0.07149381818181817
0.01,0.1,1518,584757.5,907991.04,0.110952
0.01,1,64,440593.0,1055667.4000000006,0.9606981818181818
0.01,1,256,437228.5,965455.83,0.9294196363636363
0.01,1,512,425466.0,1057040.7599999998,0.9485963636363637
0.01,1,1518,648911.0,1162675.1500000001,0.90252
0.01,10,64,423155.0,1016405.8,9.550923636363637
0.01,10,256,439778.0,1123975.6599999985,9.354053818181818
0.01,10,512,430414.5,1026105.6500000001,9.696162909090908
0.01,10,1518,650790.0,1323977.7999999973,9.195890545454546
0.01,100,64,171771.0,484046.31999999995,95.92041345454545
0.01,100,256,366625.0,978864.0199999991,93.426252
0.01,100,512,411322.0,1174713.68,97.03008036363636
0.01,100,1518,635846.5,6053037.549999865,96.62330654545454
0.05,0.1,64,495785.0,1734012.4600000004,0.09321345454545454
0.05,0.1,256,499873.5,1451530.9299999988,0.083532
0.05,0.1,512,626078.0,1552068.54,0.07161636363636363
0.05,0.1,1518,640961.0,914658.32,0.08004
0.05,1,64,527729.5,1605736.4999999995,0.960824
0.05,1,256,484353.0,1618622.6399999992,0.9295454545454545
0.05,1,512,473991.0,1661255.6000000006,0.9533767272727272
0.05,1,1518,646260.0,1392158.5,0.9198803636363636
0.05,10,64,474211.0,1615506.9999999984,9.555390181818181
0.05,10,256,488560.0,1684932.9999999988,9.363764727272727
0.05,10,512,490831.5,1703256.9900000016,9.699450545454546
0.05,10,1518,702398.5,1765611.4800000025,9.387434545454546
0.05,100,64,75800.0,378491.47000000015,95.94955636363636
0.05,100,256,450169.5,1466796.67,93.44059127272727
0.05,100,512,506503.5,1712910.5499999986,97.05093600000001
0.05,100,1518,648886.0,5374664.709999761,97.61746181818182
0.1,0.1,64,606567.0,2200956.4,0.09321672727272727
0.1,0.1,256,644025.0,2227362.5199999996,0.08353527272727274
0.1,0.1,512,625565.0,2277717.8000000003,0.07161963636363636
0.1,0.1,1518,704343.5,1617745.95,0.12542981818181817
0.1,1,64,617871.0,2210695.0199999996,0.960824
0.1,1,256,613735.5,2367551.9000000004,0.9295454545454545
0.1,1,512,627150.5,2291538.29,0.9519476363636363
0.1,1,1518,745443.5,2287008.5,0.924048
0.1,10,64,633109.0,2188173.3199999994,9.555432727272727
0.1,10,256,608845.0,2352824.64,9.363828363636362
0.1,10,512,618235.0,2440458.48,9.664076
0.1,10,1518,740762.0,2347818.359999995,9.537026545454545
0.1,100,64,116112.0,440410.69999999984,95.89411527272728
0.1,100,256,572875.0,1409409.26,93.48238581818183
0.1,100,512,590922.5,2310484.9599999967,97.0799770909091
0.1,100,1518,730044.0,4398919.899999956,96.58896
0.25,0.1,64,689708.0,4064334.099999999,0.09321345454545454
0.25,0.1,256,829168.0,3678530.95,0.083532
0.25,0.1,512,691806.0,3645454.3299999996,0.07149381818181817
0.25,0.1,1518,913263.0,4328631.92,0.119232
0.25,1,64,686952.5,4038674.089999998,0.9606981818181818
0.25,1,256,666407.0,4307202.700000001,0.9295454545454545
0.25,1,512,713400.0,4425554.880000001,0.9520098181818182
0.25,1,1518,755227.0,4056655.8100000005,0.9927443636363636
0.25,10,64,929597.0,2906158.8,9.557339272727273
0.25,10,256,687275.5,4231203.129999999,9.36147018181818
