cores,pkt_sz,lat_mean,lat_min,lat_10th,lat_25th,lat_median,lat_75th,lat_90th,lat_99th,lat_max
1,64,405684.1906976744,137504.0,197290.8,233659.0,440877.0,493507.0,627137.8,704362.84,717018.0
1,128,414806.9126984127,185772.0,199460.0,253522.0,440121.0,515620.75,624425.0,705413.75,725342.0
1,256,397916.5,156464.0,175677.9,240353.0,392638.5,488235.5,624877.9,649799.66,663230.0
1,512,383297.0571428572,165722.0,191188.40000000002,214692.0,420067.0,468985.0,612723.6000000001,714318.2599999999,720442.0
1,1024,444349.38095238095,198770.0,204497.0,242325.0,450979.0,661685.0,700621.0,714688.0,716115.0
1,1280,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1,1518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
