cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,2058.3955555555553,590.9882061700545,22.34845686822632,1789.0
2,64,2047.9125925925925,549.1278470082765,20.765490539205643,1809.0
3,64,nan,nan,-999.0,nan
4,64,nan,nan,-999.0,nan
5,64,nan,nan,-999.0,nan
