cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,10,19531.25,9.14068981818182,9.14068981818182,14282.181818181818,14282.181818181818,0.027507636363635513,43.272727272727934
2,64,10,19531.25,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,64,10,19531.25,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,64,10,19531.25,0.0,0.0,0.0,0.0,0.0,0.0
5,64,10,19531.25,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
6,64,10,19531.25,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
7,64,10,19531.25,0.0,0.0,0.0,0.0,0.0,0.0
1,128,10,9765.625,8.630627272727272,8.630627272727272,8428.272727272728,8428.272727272728,0.020886545454544603,20.54545454545405
2,128,10,9765.625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,128,10,9765.625,0.0,0.0,0.0,0.0,0.0,0.0
4,128,10,9765.625,0.0,0.0,0.0,0.0,0.0,0.0
5,128,10,9765.625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
6,128,10,9765.625,0.00024836363636363635,0.00024836363636363635,0.09090909090909091,0.09090909090909091,6.5454545454544976e-06,0.0
7,128,10,9765.625,0.0,0.0,0.0,0.0,0.0,0.0
1,256,10,4882.8125,9.251869454545455,9.251869454545455,4517.5,4517.5,0.002106909090908715,1.0
2,256,10,4882.8125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,256,10,4882.8125,0.0,0.0,0.0,0.0,0.0,0.0
4,256,10,4882.8125,0.0,0.0,0.0,0.0,0.0,0.0
5,256,10,4882.8125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
6,256,10,4882.8125,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,256,10,4882.8125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,512,10,2441.40625,9.578990909090908,9.578990909090908,2338.636363636364,2338.636363636364,0.0031061818181807865,0.7272727272725206
2,512,10,2441.40625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,512,10,2441.40625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,512,10,2441.40625,0.0,0.0,0.0,0.0,0.0,0.0
5,512,10,2441.40625,0.0,0.0,0.0,0.0,0.0,0.0
6,512,10,2441.40625,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,512,10,2441.40625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,1024,10,1220.703125,9.771566545454546,9.771566545454546,1192.8181818181818,1192.8181818181818,0.0,0.0
2,1024,10,1220.703125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,1024,10,1220.703125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,1024,10,1220.703125,0.0,0.0,0.0,0.0,0.0,0.0
5,1024,10,1220.703125,0.0,0.0,0.0,0.0,0.0,0.0
6,1024,10,1220.703125,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,1024,10,1220.703125,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,1280,10,976.5625,9.866705454545455,9.866705454545455,963.5454545454545,963.5454545454545,0.0,0.0
2,1280,10,976.5625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,1280,10,976.5625,0.0,0.0,0.0,0.0,0.0,0.0
4,1280,10,976.5625,0.0,0.0,0.0,0.0,0.0,0.0
5,1280,10,976.5625,0.0,0.0,0.0,0.0,0.0,0.0
6,1280,10,976.5625,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
7,1280,10,976.5625,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
1,1518,10,823.4519104084321,9.916128,9.916128,816.5454545454545,816.5454545454545,0.0,0.0
2,1518,10,823.4519104084321,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
3,1518,10,823.4519104084321,0.00012254545454545455,0.00012254545454545455,0.045454545454545456,0.045454545454545456,0.0002450909090909091,0.09090909090909091
4,1518,10,823.4519104084321,0.0,0.0,0.0,0.0,0.0,0.0
5,1518,10,823.4519104084321,0.0,0.0,0.0,0.0,0.0,0.0
6,1518,10,823.4519104084321,0.0001258181818181818,0.0001258181818181818,0.045454545454545456,0.045454545454545456,0.0002516363636363636,0.09090909090909091
