cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1929.8266666666666,309.13623203299153,25.021688649331395,1769.5
2,64,1827.5,234.21621777038982,18.957613732735354,1697.5
3,64,1848.8266666666666,246.81166224921833,19.977097240302783,1752.0
4,64,1816.4133333333334,200.7490369148062,16.248758242609824,1751.0
5,64,1850.1666666666667,207.53648407502288,16.798138651531303,1757.0
6,64,nan,nan,-999.0,nan
7,64,nan,nan,-999.0,nan
1,128,1927.38,299.9231383760402,24.275974827741038,1772.0
2,128,1844.7066666666667,232.81628083581742,18.844301922355726,1754.5
3,128,1810.3533333333332,203.96722405545674,16.5092404129432,1705.0
4,128,1850.4133333333334,244.1119466328694,19.758580493980958,1753.5
5,128,1856.3133333333333,211.45184279694095,17.115050345272266,1752.0
6,128,nan,nan,-999.0,nan
7,128,nan,nan,-999.0,nan
1,256,1942.5866666666666,297.03165233504814,24.041936057921703,1782.0
2,256,1844.04,252.66053325889004,20.450508682215172,1715.5
3,256,1805.7133333333334,237.5520809329094,19.227620677183154,1659.0
4,256,1827.0666666666666,237.64987317947853,19.23553604553024,1679.5
5,256,1836.52,245.8441706989748,19.898787841945136,1700.0
6,256,nan,nan,-999.0,nan
7,256,nan,nan,-999.0,nan
1,512,1937.4533333333334,326.0612127942986,26.391607653067467,1732.0
2,512,1852.5,241.76643687658552,19.568733401455688,1752.0
3,512,1815.2266666666667,245.49667062689238,19.87066095901048,1669.0
4,512,1838.7066666666667,255.21997170197233,20.65767130245797,1689.5
5,512,1850.3333333333333,257.26729722648815,20.823383168392866,1700.5
6,512,nan,nan,-999.0,nan
7,512,nan,nan,-999.0,nan
1,1024,1871.62,279.52222738093656,22.624711759270554,1705.0
2,1024,1866.3733333333332,238.41005422497508,27.61127880574577,1717.0
3,1024,1878.0733333333333,259.94258588302836,21.03992278062401,1690.0
4,1024,1871.1133333333332,280.80317036830064,22.728392121797356,1657.0
5,1024,1858.6666666666667,246.66429728591763,19.965169423866428,1674.0
6,1024,nan,nan,-999.0,nan
7,1024,nan,nan,-999.0,nan
1,1280,1871.72,258.64735632388226,20.935086053640475,1715.0
2,1280,1816.2466666666667,214.74297618833128,17.381436832812824,1674.0
3,1280,1805.0466666666666,202.65410059727114,16.402955342077234,1674.0
4,1280,1842.96,214.5171284536505,17.36315656957038,1690.0
5,1280,1813.6533333333334,214.47557706078226,17.359793372676677,1664.0
6,1280,nan,nan,-999.0,nan
7,1280,nan,nan,-999.0,nan
1,1518,1882.6466666666668,245.02536295022378,19.832513007649027,1737.0
2,1518,1820.0666666666666,192.791551221059,15.604674150133746,1669.0
3,1518,1799.18,171.59739974719895,13.88920567890932,1681.5
4,1518,1796.8866666666668,180.03871941582148,14.572451609509926,1669.0
5,1518,1782.44,173.42254678482072,14.036934272915573,1666.5
6,1518,nan,nan,-999.0,nan
7,1518,nan,nan,-999.0,nan
