cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,100,195312.5,72.65170072727273,72.65170072727273,113518.13636363635,113518.13636363635,0.0906596363636396,141.3636363636324
3,64,100,195312.5,94.23697454545454,94.23697454545454,147245.2727272727,147245.2727272727,0.013614545454544213,21.27272727273521
5,64,100,195312.5,94.242104,94.242104,147253.13636363635,147253.13636363635,0.020964363636380767,32.454545454558684
7,64,100,195312.5,94.2632530909091,94.2632530909091,147286.18181818182,147286.18181818182,0.011597090909091888,17.818181818176527
1,256,100,48828.125,92.90559454545453,92.90559454545453,45364.045454545456,45364.045454545456,0.0075745454545455,3.727272727272066
3,256,100,48828.125,92.44861127272728,92.44861127272728,45140.90909090909,45140.90909090909,0.05318909090907198,26.0
5,256,100,48828.125,92.49367054545455,92.49367054545455,45162.90909090909,45162.90909090909,0.14938327272727747,72.90909090909554
7,256,100,48828.125,92.4715149090909,92.4715149090909,45152.09090909091,45152.09090909091,0.004402909090899243,2.1818181818161975
1,512,100,24414.0625,94.99641636363637,94.99641636363637,23192.5,23192.5,1.1779134545454468,287.54545454545587
3,512,100,24414.0625,96.49809854545454,96.49809854545454,23559.13636363636,23559.13636363636,0.010550545454549365,2.636363636363967
5,512,100,24414.0625,96.55326872727274,96.55326872727274,23572.59090909091,23572.59090909091,0.021352000000007365,5.1818181818198354
7,512,100,24414.0625,96.47079345454546,96.47079345454546,23552.454545454544,23552.454545454544,0.02668945454544769,6.5454545454522295
1,1518,100,8234.519104084322,98.84443200000001,98.84443200000001,8139.363636363636,8139.363636363636,0.10156800000000032,8.363636363636942
3,1518,100,8234.519104084322,99.47451236363636,99.47451236363636,8191.318181818182,8191.318181818182,0.03151927272726596,2.454545454545041
5,1518,100,8234.519104084322,99.45617054545454,99.45617054545454,8189.772727272728,8189.772727272728,0.024533090909088173,2.0909090909090082
7,1518,100,8234.519104084322,99.53621381818182,99.53621381818182,8196.363636363636,8196.363636363636,0.0693003636363585,5.636363636363967
