p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.01,0.1,64,1,2284859.0,4781552.84,0.09095523232323233
0.01,0.1,64,2,2254644.0,4679295.34,0.09096816161616161
0.01,0.1,64,3,2284221.0,4692355.439999999,0.0908998787878788
0.01,0.1,64,4,2126914.0,3987821.73,0.09177769696969697
0.01,1,64,1,1988430.0,4824045.639999991,0.9522421818181819
0.01,1,64,2,2016019.0,4269701.599999998,0.9505398787878787
0.01,1,64,3,2005418.0,4356902.780000005,0.9493790707070706
0.01,1,64,4,2032981.5,4126579.629999992,0.9496893737373738
0.01,10,64,1,1774940.0,4374847.319999999,9.418444363636363
0.01,10,64,2,1808469.0,4493812.119999995,9.407909252525252
0.01,10,64,3,1619614.0,4292021.559999999,9.432740686868687
0.01,10,64,4,1927909.0,4560810.679999998,9.385639272727273
0.01,100,64,1,78228948.0,706033239.3999994,6.699144808080808
0.01,100,64,2,82658662.0,768905561.6799997,5.982037494949495
0.01,100,64,3,86977252.0,858558558.5999995,5.340416969696969
0.01,100,64,4,89335316.0,1987733358.7999988,5.009390383838384
0.05,0.1,64,1,2378639.0,6332247.880000001,0.0920930909090909
0.05,0.1,64,2,2284976.0,5423274.939999995,0.09212767676767677
0.05,0.1,64,3,2399085.0,5320952.099999998,0.09211523232323232
0.05,0.1,64,4,2230824.5,4820978.979999993,0.09260008080808081
0.05,1,64,1,2033675.0,6467799.999999998,0.9537526464646464
0.05,1,64,2,2054349.0,5358234.799999997,0.9524620606060606
0.05,1,64,3,2069927.0,5023616.320000002,0.9517515959595959
0.05,1,64,4,2076485.0,4986580.6099999985,0.9516352323232324
0.05,10,64,1,2154865.5,16212566.449999921,9.397324363636365
0.05,10,64,2,2207203.0,8778294.400000004,9.390312565656565
0.05,10,64,3,2233648.0,8591792.76,9.391303191919192
0.05,10,64,4,2287215.0,8461502.549999999,9.37432404040404
0.05,100,64,1,82312977.5,749111725.5900006,5.000563151515152
0.05,100,64,2,89519853.0,1844645385.0799196,4.910209131313131
0.05,100,64,3,98596947.0,801695940.9800004,4.8090101010101005
0.05,100,64,4,113288178.0,873116443.86,2.862048161616161
0.1,0.1,64,1,2422742.5,8364630.829999997,0.0928840404040404
0.1,0.1,64,2,2470749.5,6824137.850000019,0.0929010909090909
0.1,0.1,64,3,2483263.0,6318139.04,0.09279838383838385
0.1,0.1,64,4,2335846.0,5310293.750000004,0.09293624242424242
0.1,1,64,1,2054445.5,8396878.150000004,0.9572287676767677
0.1,1,64,2,2093689.0,6717623.220000002,0.9539790707070708
0.1,1,64,3,2122095.0,6260112.279999996,0.9544775757575759
0.1,1,64,4,2119748.0,5567927.680000004,0.9541910303030302
0.1,10,64,1,2171659.0,793279814.77,9.183013656565656
0.1,10,64,2,2307381.0,18753302.890000034,9.408275474747475
0.1,10,64,3,2346562.0,12300819.080000017,9.401158787878789
0.1,10,64,4,2380763.5,10412012.730000068,9.409220202020201
0.1,100,64,1,87959120.5,703927517.6899995,6.088922585858586
0.1,100,64,2,106022832.0,917170269.5099998,5.655938424242424
0.1,100,64,3,107533745.0,3954353232.2800026,5.248203878787879
0.1,100,64,4,481556137.0,885599393.78,2.0217720404040405
0.25,0.1,64,1,2465653.5,14717009.629999995,0.09309090909090909
0.25,0.1,64,2,2538461.0,10413662.229999999,0.09305195959595959
0.25,0.1,64,3,2618004.0,8309517.5,0.09317333333333333
0.25,0.1,64,4,2509388.0,7547091.040000007,0.09320129292929293
0.25,1,64,1,1962161.5,14191932.470000014,0.9605793131313133
0.25,1,64,2,2220947.0,10511951.56,0.9562244848484848
0.25,1,64,3,2240028.0,8749403.289999872,0.952556202020202
0.25,1,64,4,2282941.0,8017786.479999999,0.9531673535353534
0.25,10,64,1,1754891.0,930745046.8199999,8.227647272727273
0.25,10,64,2,1878215.0,914815078.8800001,7.881259959595959
0.25,10,64,3,1739039.0,577698442.2799977,7.388654787878788
0.25,10,64,4,2532145.0,76113521.37999977,9.077191595959595
0.25,100,64,1,106202143.0,805748778.9900001,5.3642923636363635
0.25,100,64,2,98962719.0,168881470.53999728,7.609568888888889
0.25,100,64,3,105472775.0,750997321.02,5.422706181818182
0.25,100,64,4,133636613.0,853203258.4799999,2.987325171717172
0.5,0.1,64,1,2980238.0,23477925.78,0.09317478787878788
0.5,0.1,64,2,4400390.0,15168532.57999999,0.09311814141414142
0.5,0.1,64,3,3417585.0,12441654.040000003,0.09314610101010101
0.5,0.1,64,4,3262895.0,11339523.339999977,0.09289745454545455
0.5,1,64,1,2657395.0,27016094.799999584,0.9607912727272727
0.5,1,64,2,2811369.0,15323615.720000003,0.9336565656565656
0.5,1,64,3,1550648.0,9911673.60000001,0.5616475959595959
0.5,1,64,4,2510506.0,10036764.299999997,0.8924772525252526
0.5,10,64,1,1331747.0,399575658.03999996,6.209564282828282
0.5,10,64,2,1514459.5,551181113.1499999,5.2275343030303025
0.5,10,64,3,1403856.0,10257313.350000288,4.758211636363637
0.5,10,64,4,1517350.0,702120165.0,4.999860121212121
0.5,100,64,1,82970178.0,1047521769.1600001,4.589575595959597
0.5,100,64,2,108061170.0,853417862.62,3.1816122020202022
0.5,100,64,3,79241004.0,668893742.3,4.787263757575758
0.5,100,64,4,75500221.0,588537227.6799995,6.099982707070707
1,0.1,64,1,35056061.0,38765122.940000005,0.09320202020202022
1,0.1,64,2,17938830.5,23656088.29,0.08408985858585859
1,0.1,64,3,12570857.5,18225826.840000015,0.08663183838383838
1,0.1,64,4,9263428.5,19913763.549999986,0.08577850505050505
1,1,64,1,18683184.0,194161851.00000018,0.9608637575757576
1,1,64,2,15743908.0,24262770.72,0.4481212121212121
1,1,64,3,-1.0,-1.0,8.315151515151515e-05
1,1,64,4,-1.0,-1.0,0.00011038383838383838
1,10,64,1,171267502.0,418378311.0999998,1.837235717171717
1,10,64,2,127569299.5,701230795.75,0.24546311111111116
1,10,64,3,-1.0,-1.0,8.315151515151515e-05
1,10,64,4,-1.0,-1.0,0.00011038383838383838
1,100,64,1,224169047.0,1176167711.6000001,0.8144332121212121
