p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.1,10,64,3,460518.0,1389345.4599999997,9.545436767676767
0.1,10,64,4,450331.0,1271032.44,9.546020686868687
0.1,10,64,5,452741.0,1337074.209999999,9.546389171717172
0.1,10,64,6,451033.5,1292556.7200000011,9.54539797979798
0.1,10,64,7,458920.0,1320685.5999999982,9.546489131313132
0.1,10,64,8,449283.0,1272941.3900000004,9.546353373737373
0.1,100,64,1,148350.0,457315.72999999975,95.92404735353536
0.1,100,64,2,59956.0,394769.76,95.9516126060606
0.1,100,64,3,59738.0,456727.36000000173,94.74264476767677
0.1,100,64,4,60048.0,610973.7599999998,94.73225745454546
0.1,100,64,5,60026.0,455612.89999999956,94.7422517979798
0.1,100,64,6,104496.0,814617.440000002,94.75669171717172
0.1,100,64,7,166119.0,5754589.449999959,94.54741890909092
0.1,100,64,8,166861.0,6210018.0,94.57834577777777
0.1,1000,64,1,1829817.5,13376734.02,695.0395673535354
0.1,1000,64,2,1845481.0,26486674.320000008,717.5606164848484
0.1,1000,64,3,2970177.0,43047106.500000015,634.2028597171717
0.1,1000,64,4,3028160.0,9970012.850000022,622.1615485252524
0.1,1000,64,5,2942139.5,34624420.480000004,654.2809604848485
0.1,1000,64,6,2960459.5,27793563.98000035,659.749002020202
0.1,1000,64,7,3014967.0,126740052.28,493.0793623434343
0.1,1000,64,8,2973844.0,86686162.68999998,512.4715562828283
0.25,0.1,64,1,784693.0,3860769.0999999996,0.09320129292929294
0.25,0.1,64,2,898488.5,2406545.3199999994,0.09320129292929293
0.25,0.1,64,3,748506.0,2124170.2,0.09320129292929294
0.25,0.1,64,4,698699.0,1928884.15,0.09320129292929294
0.25,0.1,64,5,746056.5,2033095.68,0.09320129292929294
0.25,0.1,64,6,758589.0,1899161.7399999998,0.09317333333333333
0.25,0.1,64,7,747893.5,1918628.67,0.09314610101010101
0.25,0.1,64,8,737035.0,1788761.65,0.09317406060606061
0.25,1,64,1,770733.0,3962737.2100000065,0.9608085656565657
0.25,1,64,2,894663.5,2587873.7399999998,0.9608085656565657
0.25,1,64,3,737406.0,2068575.04,0.9607813333333335
0.25,1,64,4,692834.5,1909236.6500000018,0.9607806060606061
0.25,1,64,5,722799.0,2162497.2999999933,0.9608085656565657
0.25,1,64,6,730763.0,2061643.659999997,0.9608085656565657
0.25,1,64,7,733579.5,2037359.0000000033,0.9607813333333335
0.25,1,64,8,718850.5,1941851.19,0.9608085656565657
0.25,10,64,1,929298.0,2842386.249999995,9.558891797979797
0.25,10,64,2,939167.0,2534991.3,9.558043555555555
0.25,10,64,3,719168.0,2073556.7500000056,9.546723959595958
0.25,10,64,4,663803.0,1811880.2900000003,9.546716767676767
0.25,10,64,5,690777.0,2018862.16,9.545949575757575
0.25,10,64,6,693111.0,1929555.52,9.545600484848485
0.25,10,64,7,694540.5,1889020.3899999964,9.546497696969698
0.25,10,64,8,680229.0,1814444.2599999988,9.545600484848485
0.25,100,64,1,141479.0,1722378.5,95.62418472727273
0.25,100,64,2,278240.0,480542.95,95.71447296969697
0.25,100,64,3,153490.5,456606.14999999997,94.64036113131313
0.25,100,64,4,151537.5,451067.5,94.66680727272728
0.25,100,64,5,159462.0,460939.0399999998,94.63350351515152
0.25,100,64,6,158766.0,456224.48,94.65321931313132
0.25,100,64,7,241596.5,636790.729999996,94.55692977777778
0.25,100,64,8,246342.0,674647.4000000011,94.60003466666666
0.25,1000,64,1,1822355.0,29709638.01,583.3660758787879
0.25,1000,64,2,1827310.5,27186929.370000027,605.6200524444444
0.25,1000,64,3,2934831.0,39698074.800000004,545.8812823434342
0.25,1000,64,4,2952525.0,29102129.010000005,562.773014949495
0.25,1000,64,5,2852372.5,41386525.53000001,586.7697696969697
0.25,1000,64,6,2851552.0,31000964.07,597.8506593131314
0.25,1000,64,7,1822354.0,116388456.69999981,522.5442892929292
0.25,1000,64,8,2768050.0,49980620.900000006,488.3416247272728
0.5,0.1,64,1,1373471.0,6473168.32,0.09320129292929293
0.5,0.1,64,2,1263257.0,4038457.6000000034,0.0931740606060606
0.5,0.1,64,3,1021756.0,3033260.7599999993,0.09317406060606061
0.5,0.1,64,4,1018008.0,2630569.0000000037,0.09317333333333333
0.5,0.1,64,5,1088699.0,3285780.05,0.09320129292929294
0.5,0.1,64,6,1092009.5,2967428.4399999967,0.09317333333333333
0.5,0.1,64,7,1100042.0,2968031.7000000044,0.09320129292929294
0.5,0.1,64,8,1065434.0,2610596.08,0.09320129292929293
0.5,1,64,1,1405692.5,6563026.229999995,0.9607541010101011
0.5,1,64,2,1273567.0,3987619.4799999986,0.9607813333333335
0.5,1,64,3,1037450.0,3144569.7999999993,0.9607813333333335
0.5,1,64,4,978066.0,2715282.4000000027,0.9607533737373737
0.5,1,64,5,1054273.5,3357568.7000000044,0.9607526464646465
0.5,1,64,6,1075031.5,3085098.1000000006,0.9608085656565657
0.5,1,64,7,1060675.0,2906401.17,0.9608085656565657
0.5,1,64,8,1037042.5,2777901.1499999943,0.9607813333333333
0.5,10,64,1,1102017.5,2870616.770000001,9.560860040404041
0.5,10,64,2,1104728.5,2809590.1199999987,9.559459313131313
0.5,10,64,3,1004524.0,3107492.3199999994,9.546519353535352
0.5,10,64,4,936527.0,2618116.619999999,9.545700444444444
0.5,10,64,5,1015953.5,3187529.5299999984,9.547156363636363
0.5,10,64,6,1043436.5,2936126.2800000003,9.546943757575756
0.5,10,64,7,1020931.0,2788416.7600000007,9.547462303030304
0.5,10,64,8,987472.0,2601693.1,9.546175838383839
0.5,100,64,1,59570.0,22770204.619999997,72.70426416161617
0.5,100,64,2,218280.5,19703250.679999974,95.18321616161616
0.5,100,64,3,316796.0,699003.6000000023,94.26701923232324
0.5,100,64,4,274132.0,500604.3999999976,94.37326133333335
0.5,100,64,5,279868.0,808277.2999999988,94.24443822222223
0.5,100,64,6,276146.0,661303.7000000001,94.30468436363635
0.5,100,64,7,257425.0,587957.4000000025,94.26280565656566
0.5,100,64,8,247140.0,496125.6000000001,94.32663757575759
0.5,1000,64,1,1823111.0,24772981.96,397.1257203232323
0.5,1000,64,2,1825174.0,27188952.900000002,419.69269705050505
0.5,1000,64,3,2893124.5,24691455.450000003,393.1377244444445
0.5,1000,64,4,2888085.5,25673029.060000002,414.43885810101006
0.5,1000,64,5,2846483.0,37845174.93,413.82875709090905
0.5,1000,64,6,2780525.5,32801617.34000003,418.9402763636364
0.5,1000,64,7,2869789.0,102401801.0,308.9155883636364
0.5,1000,64,8,2836857.0,103372664.7,323.67345826262624
1,0.1,64,1,8292337.0,10627185.0,0.0931740606060606
1,0.1,64,2,4035433.0,6500979.42,0.09317406060606061
1,0.1,64,3,2757198.0,5053285.2,0.09311814141414142
1,0.1,64,4,2136549.0,4094697.800000001,0.09317406060606061
1,0.1,64,5,2073584.5,5385421.799999995,0.09317333333333333
1,0.1,64,6,2024405.5,4857838.950000002,0.0931740606060606
1,0.1,64,7,2130676.5,4371198.5,0.09317333333333333
1,0.1,64,8,2038545.0,4106285.07,0.09317333333333333
1,1,64,1,8508617.0,10993073.32,0.9608085656565657
1,1,64,2,4088743.0,6741851.450000001,0.9608085656565657
1,1,64,3,2757064.0,5083522.0,0.9607806060606061
1,1,64,4,2077929.0,4210479.359999986,0.9608085656565657
1,1,64,5,2056470.5,5600701.200000003,0.9607813333333335
1,1,64,6,2029734.0,5049238.480000001,0.9607533737373737
1,1,64,7,2091298.0,4557053.999999999,0.9608085656565657
1,1,64,8,2002321.0,4282256.759999997,0.9608085656565657
1,10,64,1,1808512.0,10175444.919999998,9.519644929292928
1,10,64,2,1530286.0,2616676.56,9.553235232323232
1,10,64,3,1864952.0,3926210.9199999995,9.49503191919192
1,10,64,4,1842565.0,3914337.159999999,9.522416161616162
1,10,64,5,1295717.5,3822444.579999997,9.485523151515151
1,10,64,6,1611130.0,4265914.0,9.50335402020202
1,10,64,7,1831164.0,4238017.05,9.521272646464645
1,10,64,8,1776475.0,3888954.1600000006,9.526736646464647
1,100,64,1,24666178.0,26058145.299999997,24.691704727272725
1,100,64,2,8488168.5,28966566.660000004,47.36340525252526
1,100,64,3,1142318.0,20671081.0,68.75885737373738
1,100,64,4,580024.0,14201113.760000017,90.78109139393939
1,100,64,5,413745.5,58911175.04999999,45.754129212121214
1,100,64,6,394443.0,53382332.75999984,62.050088565656566
1,100,64,7,453350.0,53354279.29,73.35109656565656
1,100,64,8,456560.0,42367356.730000004,86.80851442424243
1,1000,64,1,26751278.0,28909992.48,24.660480484848488
1,1000,64,2,8376562.0,30474271.340000004,47.363515151515145
1,1000,64,3,3039850.0,35803443.96,46.77464404040404
1,1000,64,4,2972754.5,27002892.810000002,63.89006270707071
1,1000,64,5,3435751.5,59073650.92000009,55.27301082828282
1,1000,64,6,3150670.0,52166437.20000002,65.13469898989898
1,1000,64,7,2970698.0,128531900.71999998,36.428742303030305
1,1000,64,8,2911844.0,138577741.10000002,37.90756896969697
