p,rate,pktsz,c,lat_median,lat_99th,mean_tput
0.05,100,64,5,577146759.0,822256489.5,1.3571490909090909
0.05,100,256,1,79974691.0,4306211595.599967,8.018976727272728
0.05,100,256,3,101577634.5,378875315.99999934,8.803886545454546
0.05,100,256,5,95935852.0,297719797.3599991,8.970612363636363
0.05,100,512,1,58950623.0,1463240179.0,18.496605090909092
0.05,100,512,3,66720899.0,350473454.1000013,19.175732727272727
0.05,100,512,5,61037101.5,212789934.97999987,19.95695490909091
0.05,100,1518,1,8403899.0,12665885.4,97.68191999999999
0.05,100,1518,3,8110548.0,12222878.400000002,97.68259454545455
0.05,100,1518,5,8104220.0,12193547.320000004,97.68094181818182
0.1,0.1,64,1,2358416.5,8095474.600000002,0.09272218181818181
0.1,0.1,64,3,2462038.0,6004976.64,0.09291636363636363
0.1,0.1,64,5,2617625.0,6106478.779999992,0.092984
0.1,0.1,256,1,3347972.0,9082149.479999999,0.04173745454545454
0.1,0.1,256,3,3288950.5,6681101.780000001,0.07878436363636364
0.1,0.1,256,5,3277531.0,6493872.699999999,0.08353527272727274
0.1,0.1,512,1,4877531.5,12794435.120000001,0.07161636363636363
0.1,0.1,512,3,4808410.5,8094493.810000001,0.07161636363636363
0.1,0.1,512,5,4515203.0,7383890.560000005,0.07161963636363636
0.1,0.1,1518,1,4722654.0,10102577.319999997,0.14143454545454545
0.1,0.1,1518,3,4606948.5,8848225.85,0.14156036363636365
0.1,0.1,1518,5,4640412.5,8867658.439999998,0.14143781818181816
0.1,1,64,1,2135943.5,9432860.55,0.9551480000000001
0.1,1,64,3,2277192.0,6346510.739999971,0.9518410909090909
0.1,1,64,5,2473412.0,6044879.199999999,0.9500894545454546
0.1,1,256,1,3060469.0,9636203.19999999,0.9291698181818182
0.1,1,256,3,2948844.0,6789451.839999994,0.9254789090909091
0.1,1,256,5,3255806.0,6681899.319999998,0.9228396363636364
0.1,1,512,1,4585497.5,9640452.999999996,0.953250909090909
0.1,1,512,3,4423786.5,7461021.459999997,0.9529407272727273
0.1,1,512,5,4596125.5,7596740.649999999,0.9531872727272728
0.1,1,1518,1,4763102.0,9766903.75,1.05984
0.1,1,1518,3,4694806.0,8979299.6,1.0246378181818183
0.1,1,1518,5,4715708.0,9095823.999999998,1.0599625454545454
0.1,10,64,1,2220479.0,1079850609.7999995,9.14752
0.1,10,64,3,2358438.0,12472250.289999995,9.413963636363636
0.1,10,64,5,2452582.0,9504571.880000003,9.401838909090909
0.1,10,256,1,3146138.5,10385676.149999993,9.266019272727272
0.1,10,256,3,3173762.0,7441143.4799999995,9.257797818181817
0.1,10,256,5,3222991.0,6584982.170000003,9.24442218181818
0.1,10,512,1,4317891.0,11097613.0,9.597050545454547
0.1,10,512,3,4316277.0,8501110.840000004,9.59190109090909
0.1,10,512,5,4540395.0,8176999.800000011,9.595747272727273
0.1,10,1518,1,4714952.0,9938800.0,9.916250545454545
0.1,10,1518,3,4650215.0,9064383.0,9.914472
0.1,10,1518,5,4700626.0,9181365.74,9.916128
0.1,100,64,1,529614526.5,806314820.91,1.560588
0.1,100,64,3,613357807.0,867410277.0000001,1.3111916363636364
0.1,100,64,5,564528017.0,829113582.18,1.4070399999999998
0.1,100,256,1,85196702.5,2359986279.5799713,8.180020727272726
0.1,100,256,3,142563282.0,1436329415.3799994,8.332317454545453
0.1,100,256,5,131235902.0,600993854.0,8.889064727272727
0.1,100,512,1,61368600.5,2191116010.2799997,19.242572000000003
0.1,100,512,3,88633255.0,1843279752.42,18.071116
0.1,100,512,5,91196647.0,430870268.6399997,18.795735636363638
0.1,100,1518,1,9945303.0,17882228.939999994,97.68038981818182
0.1,100,1518,3,8349524.0,12683724.620000001,97.68259454545455
0.1,100,1518,5,8387008.0,12811063.75,97.66382654545455
0.25,0.1,64,1,2414446.5,13822119.28,0.09321345454545454
0.25,0.1,64,3,2611007.0,8748938.64,0.09321345454545454
0.25,0.1,64,5,2738008.0,8124976.600000012,0.09309090909090909
0.25,0.1,256,1,3238815.5,15938450.339999989,0.08340945454545455
0.25,0.1,256,3,3272918.0,7948818.919999998,0.083532
0.25,0.1,256,5,3244405.5,7651472.720000001,0.083532
0.25,0.1,512,1,4855341.5,16184697.270000001,0.07161963636363636
0.25,0.1,512,3,4439764.0,10909318.729999999,0.07161636363636363
0.25,0.1,512,5,4904581.0,10016668.0,0.07161636363636363
0.25,0.1,1518,1,5221550.0,14541299.299999999,0.14143781818181816
0.25,0.1,1518,3,5073288.0,9443542.540000001,0.10610654545454545
0.25,0.1,1518,5,4941595.0,10681068.220000003,0.10610654545454545
0.25,1,64,1,2289283.5,15922857.81999997,0.9593694545454545
0.25,1,64,3,2496822.5,10994711.27999997,0.9606981818181818
0.25,1,64,5,2683277.0,10905239.439999985,0.9606752727272727
0.25,1,256,1,3072716.0,16077624.859999979,0.9295454545454545
0.25,1,256,3,3196296.5,8837456.16,0.9294196363636363
0.25,1,256,5,3442036.0,9026944.750000004,0.9295421818181818
0.25,1,512,1,4529079.0,16283691.64,0.9533767272727272
0.25,1,512,3,4485156.0,10852656.15999999,0.953250909090909
0.25,1,512,5,4725733.0,9645788.07,0.9533734545454545
0.25,1,1518,1,5324765.0,15806378.350000001,1.05984
0.25,1,1518,3,4947480.0,9737270.0,1.05984
0.25,1,1518,5,4931756.0,9447476.76,1.0600883636363636
0.25,10,64,1,2012703.0,995375961.72001,7.825047272727273
0.25,10,64,3,2450640.0,742409647.2000041,8.664727272727273
0.25,10,64,5,2599630.0,1180944926.4799895,8.925833818181818
0.25,10,256,1,3249254.0,20685103.740000024,9.284421818181817
0.25,10,256,3,3317657.0,10493592.780000003,9.262298909090909
0.25,10,256,5,3420372.0,9298874.519999975,9.26332290909091
0.25,10,512,1,4553666.0,18097325.96,9.609960727272728
0.25,10,512,3,4571559.5,10936829.6,9.585138181818182
0.25,10,512,5,4660444.5,10511347.099999992,9.578808
0.25,10,1518,1,5195610.5,14932481.330000002,9.916128
0.25,10,1518,3,4840805.5,9692329.350000001,9.880925818181819
0.25,10,1518,5,4956569.0,10017694.84,9.905765818181818
0.25,100,64,1,594205387.5,871844086.93,1.6266858181818182
0.25,100,64,3,591704082.0,874844817.4399997,1.437333090909091
0.25,100,64,5,567021265.0,818995338.3199997,1.4312821818181818
0.25,100,256,1,88585405.0,1838291144.1,8.055747636363638
0.25,100,256,3,136907706.0,1385718211.6,7.780538181818182
0.25,100,256,5,176557641.0,1228503443.48,8.017640727272727
0.25,100,512,1,61529981.0,1602366951.5999992,18.960818545454543
0.25,100,512,3,80181159.0,1737780883.56,17.660462545454543
0.25,100,512,5,104683112.0,1175548109.2000003,17.048855272727273
0.25,100,1518,1,9345318.0,672305460.2400001,87.14890436363636
0.25,100,1518,3,9551061.0,16580126.140000004,96.77829600000001
0.25,100,1518,5,9665022.0,16533598.720000003,97.22928
0.5,0.1,64,1,3198916.0,23809740.479999997,0.09333927272727273
0.5,0.1,64,3,3699737.0,11874128.9,0.09309090909090909
0.5,0.1,64,5,3727624.0,11243345.319999997,0.09309090909090909
0.5,0.1,256,1,3846349.0,23122488.4,0.08365781818181818
0.5,0.1,256,3,3822407.5,13991736.11,0.08340945454545455
0.5,0.1,256,5,4476248.0,11996043.560000002,0.08340945454545455
0.5,0.1,512,1,5115167.0,26408763.92,0.07161636363636363
0.5,0.1,512,3,4999334.5,13373922.750000002,0.07161963636363636
0.5,0.1,512,5,4896909.0,13023895.0,0.07149381818181817
0.5,0.1,1518,1,6781490.0,25232440.659999996,0.14143454545454545
0.5,0.1,1518,3,4821531.5,13279201.009999998,0.07918436363636364
0.5,0.1,1518,5,5950234.0,12180778.479999995,0.105984
0.5,1,64,1,3059078.0,25384298.699999977,0.9606981818181818
0.5,1,64,3,3547401.0,13320056.240000002,0.9572810909090909
0.5,1,64,5,3527607.0,12804777.120000001,0.9563636363636363
0.5,1,256,1,3493167.0,30441966.25,0.9294196363636363
0.5,1,256,3,3416892.5,12654418.279999979,0.9280854545454544
0.5,1,256,5,3867934.0,11838505.280000001,0.9093447272727273
0.5,1,512,1,4773640.0,24754915.120000005,0.953250909090909
0.5,1,512,3,4830183.0,13834169.85,0.9359981818181818
0.5,1,512,5,4906116.0,12846836.43999999,0.9356894545454545
0.5,1,1518,1,6685370.0,25284954.72,1.05984
0.5,1,1518,3,5753269.5,12870266.919999998,1.0247603636363638
0.5,1,1518,5,5769408.0,13798131.129999999,1.035677818181818
0.5,10,64,1,1658226.0,1431335569.4399998,5.559657090909091
0.5,10,64,3,2091004.0,885659791.98,6.397329818181818
0.5,10,64,5,2207796.5,1385676577.9100003,6.560562181818182
0.5,10,256,1,3016718.0,459790985.90000004,7.908846909090909
0.5,10,256,3,3548822.0,13579717.119999982,8.894091636363635
0.5,10,256,5,3240653.0,11033114.199999992,7.5409549090909085
0.5,10,512,1,4871086.5,27020742.349999998,9.628701454545453
0.5,10,512,3,4762098.0,14631848.199999996,9.251002181818182
0.5,10,512,5,4449919.0,12528984.460000003,7.901868363636363
0.5,10,1518,1,6396885.0,25284279.4,9.880922545454546
0.5,10,1518,3,5386733.0,12944991.64,9.264216
0.5,10,1518,5,5023463.0,12145082.159999993,8.493749818181819
0.5,100,64,1,646557174.0,1182286492.5999982,1.6144352727272726
0.5,100,64,3,509854228.5,795293846.74,1.1271854545454545
0.5,100,64,5,589979205.0,867970963.28,1.1824
0.5,100,256,1,100547367.0,1326164658.06,7.272634181818182
0.5,100,256,3,140031354.0,1945323418.7800255,6.442914909090909
0.5,100,256,5,103573608.0,389970642.08000064,5.3480727272727275
0.5,100,512,1,76095816.0,1550708018.100001,18.484130909090908
0.5,100,512,3,95221210.0,1447253879.439994,14.433309454545455
0.5,100,512,5,74708962.0,185655512.36999997,8.115293090909091
0.5,100,1518,1,8401005.0,513925321.4,63.705341818181815
0.5,100,1518,3,11233036.0,698825115.1800001,63.141746545454545
0.5,100,1518,5,-1.0,-1.0,nan
1,0.1,64,1,35474185.0,38636384.54,0.09321345454545454
1,0.1,64,3,12881261.5,18197753.010000005,0.09321345454545454
1,0.1,256,1,32958158.0,38324659.0,0.08353527272727274
1,0.1,256,3,12583497.0,18596947.999999996,0.083532
1,0.1,512,1,36531071.0,40841193.2,0.07161963636363636
1,0.1,512,3,13268733.0,20712570.96,0.07161636363636363
1,0.1,1518,1,36007337.0,42204885.36,0.10610981818181818
1,0.1,1518,3,11607073.0,23431528.200000003,0.14143454545454545
1,1,64,1,35826622.0,256719668.28,0.960824
1,1,64,3,12083579.0,56525792.999999925,0.7146243636363636
1,1,256,1,35721961.0,70491090.24000002,0.9295454545454545
1,1,256,3,11454307.0,19333759.1,0.5895741818181819
1,1,512,1,36659540.0,40656401.699999996,0.9533767272727272
1,1,512,3,12263538.5,18929221.9,0.6047185454545454
1,1,1518,1,35873269.5,42943117.72,1.0599658181818183
1,1,1518,3,9457772.5,19977316.189999994,0.7761119999999999
1,10,64,1,136094597.5,2145446791.6599996,0.9700363636363636
1,10,64,3,120165976.0,1006135992.0599995,1.2032967272727273
1,10,256,1,119956917.0,190330186.9999999,3.406475636363636
1,10,256,3,19422288.5,520797347.6400001,2.1709127272727273
1,10,512,1,112493345.0,164781391.9200001,6.804014545454546
1,10,512,3,10167467.0,19764776.47000001,4.3288530909090905
1,10,1518,1,32095227.0,42788531.39999999,9.8808
1,10,1518,3,7188880.0,19599458.0,5.698973818181818
1,100,64,1,595327879.0,861732922.4599999,0.8631563636363637
1,100,64,3,489174807.0,3771746598.1800003,0.10761672727272728
1,100,256,1,454752147.5,3640634663.09,1.4068225454545455
1,100,256,3,496340384.0,3518060476.7,1.1129018181818182
1,100,512,1,401821843.0,602653282.28,4.861269454545455
1,100,512,3,514035663.0,4334643027.999994,1.4753047272727273
1,100,1518,1,156825385.0,207590630.6,16.519952363636364
1,100,1518,3,55996192.0,911556276.0,11.054904
