cores,pkt_sz,target_rate,target_pps,rate_median,rate_mean,pps_median,pps_mean,rate_95ci,pps_95ci
1,64,100,195312.5,6.279110545454546,6.699144808080808,9810.818181818182,10467.282828282827,2.368695390819065,3701.1275858023464
2,64,100,195312.5,5.727534545454546,5.982037494949495,8949.272727272728,9346.868686868685,1.7037741520585958,2662.238054193923
3,64,100,195312.5,5.348189090909091,5.340416969696969,8356.545454545454,8344.303030303032,3.103717410837574,4849.752546393358
4,64,100,195312.5,5.30688,5.009390383838384,8292.0,7827.0404040404055,2.7857615969035843,4352.726841608302
5,64,100,195312.5,4.055272727272727,4.420764929292929,6336.363636363636,6907.313131313131,2.4102884937652433,3766.1471945952976
