cores,pkt_sz,total_mean,total_stdev,total_95ci,total_median,user_mean,user_stdev,user_95ci,user_median,system_mean,system_stdev,system_95ci,system_median
1,64,0.39413624520587615,0.021245753320539577,0.04249150664107915,0.39294947121034074,0.0025535087095138608,0.002982302646613918,0.005964605293227836,0.0,0.007370979437785159,0.004418795807326838,0.008837591614653676,0.00546448087431694
2,64,0.3764111018123532,0.037524323287100564,0.07504864657420113,0.375,0.0021168715606049967,0.004109469350627757,0.008218938701255514,0.0,0.006030822774389352,0.008030175463707656,0.016060350927415312,0.005434782608695652
3,64,0.38831893121270783,0.021839641445337853,0.04367928289067571,0.38524247491638797,0.0013604708671454665,0.0023565574418869693,0.004713114883773939,0.0,0.00726832201261481,0.004966807237138432,0.009933614474276865,0.0055248618784530384
4,64,0.3831898365966893,0.055322987618373315,0.11064597523674663,0.3825136612021858,0.0033027086634287413,0.011497734239576082,0.022995468479152164,0.0,0.009643043781707219,0.01547301657802413,0.03094603315604826,0.005494671376384989
5,64,0.38563088159299147,0.027062240770045192,0.054124481540090384,0.3835645229087852,0.0016631657445983891,0.0025073957767612,0.0050147915535224,0.0,0.007731818570493569,0.004526439972119454,0.009052879944238907,0.0055248618784530384
6,64,0.37895708118471155,0.022139859889206585,0.04427971977841317,0.38419958419958417,0.0018083566805487572,0.0028572295923158654,0.005714459184631731,0.0,0.008002534649069533,0.005316916322037664,0.010633832644075329,0.005479493184411217
7,64,0.38416339962516166,0.01357578066992473,0.02715156133984946,0.3846153846153846,0.0018199343816706769,0.004058383938721964,0.008116767877443929,0.0,0.008326509543490323,0.005797705831170743,0.011595411662341485,0.005494505494505495
1,128,0.6293009383045941,0.02987261055207392,0.05974522110414784,0.6266714082503556,0.2183968191063658,0.011632072438570248,0.023264144877140496,0.21833217067782817,0.02758826221870724,0.015993144371200335,0.03198628874240067,0.02173977255944469
2,128,0.399443110363501,0.013092123391531686,0.026184246783063372,0.4,0.0015314038549187835,0.0027951323468011695,0.005590264693602339,0.0,0.007646174842662592,0.005233032706145086,0.010466065412290173,0.005555555555555556
3,128,0.39214477770024886,0.03369626977025224,0.06739253954050448,0.39560439560439564,0.0013838579168127052,0.002397020698639159,0.004794041397278318,0.0,0.007630306757551349,0.00566542910852197,0.01133085821704394,0.005571073867163253
4,128,0.4017501993138131,0.02497007521767425,0.0499401504353485,0.4,0.0015213661878546649,0.002453274250909825,0.00490654850181965,0.0,0.007795602476146264,0.0037524708972766553,0.0075049417945533105,0.005571073867163253
5,128,0.4027841065555011,0.018586046109883108,0.037172092219766216,0.4033149171270718,0.001677282222785216,0.002528686139011491,0.005057372278022982,0.0,0.008881479847672874,0.004721291188141386,0.009442582376282772,0.008257776963702414
6,128,0.40008248941831187,0.02118251845809676,0.04236503691619352,0.3966972254265072,0.0019825411425839472,0.004138731407915132,0.008277462815830264,0.0,0.009773567164910634,0.007225315984176544,0.014450631968353087,0.008257776963702414
7,128,0.39932602217038027,0.016146213126108075,0.03229242625221615,0.39779005524861877,0.0015323222160317843,0.0027898048807263134,0.005579609761452627,0.0,0.008442308171957062,0.005594672313698597,0.011189344627397194,0.00821256038647343
1,256,0.5941409065988652,0.08462233465083718,0.16924466930167437,0.6260210377857437,0.15257929640061627,0.08648513356001448,0.17297026712002897,0.1950626604257889,0.0199936257362393,0.00982271420924922,0.01964542841849844,0.021739130434782608
2,256,0.42808438170296265,0.012268544316159284,0.024537088632318568,0.4285714285714286,0.002017691560175501,0.0026841055755243647,0.005368211151048729,0.0,0.008381543434453886,0.004830717857606318,0.009661435715212637,0.005681818181818182
3,256,0.42917659310260947,0.019663065749358454,0.03932613149871691,0.42695707070707073,0.0026349837160248107,0.004242064866300073,0.008484129732600145,0.0,0.010563739866836825,0.008372783910866039,0.016745567821732078,0.011111111111111112
4,256,0.4349379873242787,0.019219953422092956,0.03843990684418591,0.43697821856757263,0.002012294602508383,0.002676708977663258,0.005353417955326516,0.0,0.009481477784985641,0.006298807311356398,0.012597614622712796,0.011080417434008595
5,256,0.42758957980314904,0.012914079628282326,0.02582815925656465,0.42776886035313005,0.0013941482058865448,0.0024148463713106584,0.004829692742621317,0.0,0.008878709555990601,0.00467024930899515,0.0093404986179903,0.01105006105006105
