cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1706.9333333333334,38.92705428818825,3.1507812139300313,1695.0
2,64,1667.32,51.126421088643916,4.138205935362976,1644.0
3,64,1656.5,20.571744375882826,1.6650904339547878,1649.0
4,64,1652.5733333333333,16.49660436440044,1.3352459382152801,1647.0
5,64,1651.3133333333333,30.59828680752495,2.476645330978613,1649.0
6,64,nan,nan,-999.0,nan
7,64,nan,nan,-999.0,nan
1,128,1700.1533333333334,43.15147531918488,3.4927086129481495,1684.0
2,128,1660.22,42.086081626431636,3.4064749511941272,1644.0
3,128,1657.64,31.17633290387652,2.5234327597854644,1644.0
4,128,1655.78,34.72134213995767,2.8103681241098,1647.0
5,128,1657.6133333333332,17.716202251674094,1.4339609882501918,1652.0
6,128,nan,nan,-999.0,nan
7,128,nan,nan,-999.0,nan
1,256,1700.8066666666666,53.64198562900354,4.341817373246613,1679.0
2,256,1668.94,45.834372836696836,3.709864091358895,1649.0
3,256,1659.94,33.53211992503108,2.7141117008459332,1649.0
4,256,1659.1866666666667,36.2615290478613,2.935031858987827,1648.0
5,256,1651.3266666666666,15.472339476914566,1.252341268838336,1644.0
6,256,nan,nan,-999.0,nan
7,256,nan,nan,-999.0,nan
1,512,1708.0066666666667,57.65558621870237,4.666680827969344,1679.0
2,512,1664.6333333333334,41.35801682329021,3.3475449102185166,1649.0
3,512,1661.2266666666667,37.567742664271016,3.0407576427446656,1649.0
4,512,1655.78,32.608970136042835,2.639391353622841,1644.0
5,512,1653.5933333333332,30.32185057383903,2.45427040156585,1644.0
6,512,nan,nan,-999.0,nan
7,512,nan,nan,-999.0,nan
1,1024,1699.0533333333333,40.50379186638648,3.2784033839484437,1684.0
2,1024,1659.94,37.92558151608665,3.069721353267596,1644.0
3,1024,1654.2266666666667,18.033726428247956,1.4596616026124138,1649.0
4,1024,1648.7066666666667,15.757557622367187,1.2754270119288549,1642.0
5,1024,1653.6866666666667,34.18696372725851,2.7671151861557064,1644.0
6,1024,nan,nan,-999.0,nan
7,1024,nan,nan,-999.0,nan
1,1280,1697.1266666666668,38.672694357762154,3.1301931549304527,1684.0
2,1280,1658.56,34.62474644913182,2.8025496057665578,1644.0
3,1280,1653.1,16.65002502500622,1.3476639067490623,1649.0
4,1280,1649.36,16.88165868627843,1.3664124866711518,1642.0
5,1280,1650.0533333333333,17.18750967676495,1.3911682657227402,1644.0
6,1280,nan,nan,-999.0,nan
7,1280,nan,nan,-999.0,nan
1,1518,1704.08,45.142813381533934,3.6538888171058943,1690.0
2,1518,1660.0466666666666,34.284561475328154,2.77501481166712,1644.0
3,1518,1650.8333333333333,22.651391912100134,1.83341846464009,1642.0
4,1518,1653.8933333333334,17.947756281929937,1.4527031227856924,1647.0
5,1518,1658.4466666666667,37.85560930107394,3.0640577564557816,1644.0
6,1518,nan,nan,-999.0,nan
7,1518,nan,nan,-999.0,nan
