cores,pkt_sz,total_mean,total_stdev,total_95ci,total_median,user_mean,user_stdev,user_95ci,user_median,system_mean,system_stdev,system_95ci,system_median
1,64,0.11934344265961055,0.010868302152527595,0.02173660430505519,0.11825270948982292,0.10157078136486915,0.008355847298184478,0.016711694596368957,0.10362694300518134,0.012176377605986175,0.0051454219524041025,0.010290843904808205,0.010362694300518135
2,64,0.0035337461310388386,0.003126458398994645,0.00625291679798929,0.005076142131979711,0.0005668934240362811,0.0016034167373844615,0.003206833474768923,0.0,0.0021201023436943187,0.0025085601046032535,0.005017120209206507,0.0
3,64,0.0053639491154598646,0.0063245987160202985,0.012649197432040597,0.005076142131979711,0.0011301898085799462,0.0021143997839657273,0.004228799567931455,0.0,0.003387008943571671,0.005485158322329543,0.010970316644659086,0.0
4,64,0.0048100493048522895,0.0069258594820863165,0.013851718964172633,0.005076142131979711,0.0018388286124568455,0.002728274209372322,0.005456548418744644,0.0,0.0022676252341468687,0.005323844867766242,0.010647689735532484,0.0
5,64,0.004088482288264722,0.003926251043133199,0.007852502086266398,0.005076142131979711,0.0016913643031602906,0.002391984704218413,0.004783969408436826,0.0,0.0014100685480912699,0.0025664760117157424,0.005132952023431485,0.0
6,64,0.003675491622675562,0.0037228166273089894,0.007445633254617979,0.005076142131979711,0.0019776669583292743,0.002479163866048973,0.004958327732097946,0.0,0.0008489013202573752,0.001898207601914065,0.00379641520382813,0.0
7,64,0.00408847469287146,0.004101034885939352,0.008202069771878704,0.005076142131979711,0.0016920763347634225,0.0023929879005044423,0.004785975801008885,0.0,0.001269776631583855,0.002503724473843395,0.00500744894768679,0.0
1,128,0.06644060975883509,0.01735403162309966,0.03470806324619932,0.06666666666666665,0.05276945674002671,0.011608461372373235,0.02321692274474647,0.05396796024109125,0.009831472928567092,0.0069645084983665706,0.013929016996733141,0.01020408163265306
2,128,0.003099993816356632,0.002989258850296405,0.00597851770059281,0.005076142131979711,0.0007035954582485885,0.0017519448152401205,0.003503889630480241,0.0,0.0015510723866528756,0.0023383609182952496,0.004676721836590499,0.0
3,128,0.004926643028622591,0.0036671966660150614,0.007334393332030123,0.005076142131979711,0.0018309149019808918,0.0024353531321480502,0.0048707062642961005,0.0,0.0016899326445607525,0.0023899572385059527,0.004779914477011905,0.0
4,128,0.00548919853367521,0.008193547933995316,0.01638709586799063,0.005076142131979711,0.0014064787753451035,0.003065059075918707,0.006130118151837414,0.0,0.002675528841832928,0.00539378539029953,0.01078757078059906,0.0
5,128,0.004229449902643034,0.0030431344681757723,0.006086268936351545,0.005076142131979711,0.0014107661557504437,0.0022748038596334974,0.004549607719266995,0.0,0.0015510652294553672,0.0023383424776092167,0.004676684955218433,0.0
6,128,0.005201522246576492,0.004681278780544979,0.009362557561089958,0.005076142131979711,0.001264057702127918,0.002189426886333112,0.004378853772666224,0.0,0.0023899601303025244,0.003038527303461867,0.006077054606923734,0.0
7,128,0.0073080288363101915,0.022124253010014923,0.044248506020029846,0.005063323591242397,0.001124478145870459,0.004312370554291307,0.008624741108582613,0.0,0.005059784685721355,0.01645231526028904,0.03290463052057808,0.0
1,256,0.043909515744028176,0.012930973041345809,0.025861946082691618,0.0461538461538461,0.029853981099349447,0.00923720935187308,0.01847441870374616,0.030848532910388582,0.010360326269851674,0.005582810593130913,0.011165621186261826,0.01020408163265306
2,256,0.007498710396265611,0.018938386827663488,0.037876773655326976,0.005076142131979711,0.0017050850384183716,0.00845938112828447,0.01691876225656894,0.0,0.00396409124499358,0.010045813867317304,0.020091627734634607,0.0
3,256,0.005351834787340217,0.00645221427327323,0.01290442854654646,0.005076142131979711,0.0011273411344227108,0.002427843792938986,0.004855687585877972,0.0,0.002675572223213743,0.004568048667370923,0.009136097334741846,0.0
4,256,0.004220170267426731,0.0036737257442948624,0.007347451488589725,0.005063323591242397,0.000423019111078091,0.0014030088167988934,0.0028060176335977867,0.0,0.002390665114257089,0.0025274057737170457,0.005054811547434091,0.0
5,256,0.005907966378982323,0.0036695445614946766,0.007339089122989353,0.005076142131979711,0.0011251830202760828,0.0021050333527887644,0.004210066705577529,0.0,0.0028158423394818084,0.0032616242663153217,0.006523248532630643,0.0
6,256,0.0076067114025807035,0.02002207283514334,0.04004414567028668,0.005063323591242397,0.001271942122025874,0.0059348957902982495,0.011869791580596499,0.0,0.00451090410637967,0.014213151209304728,0.028426302418609457,0.0
7,256,0.004499343803885608,0.0039059496489157086,0.007811899297831417,0.005076142131979711,0.00196836530152858,0.0024674964663300883,0.0049349929326601765,0.0,0.0007014661919898765,0.0017466470804564618,0.0034932941609129237,0.0
1,512,0.030110353919663584,0.005922987746039253,0.011845975492078506,0.030612244897959218,0.018761162697737244,0.004006026604934978,0.008012053209869956,0.02040816326530612,0.00879949917040393,0.004089119388805767,0.008178238777611533,0.01020408163265306
2,512,0.0063432018925129886,0.007629328562051219,0.015258657124102439,0.005076142131979711,0.0018338145574065322,0.003421331264265499,0.006842662528530998,0.0,0.0029619046116508042,0.005153632871769154,0.010307265743538309,0.0
3,512,0.004500768195738697,0.00331975465158982,0.00663950930317964,0.005076142131979711,0.0004215875620274944,0.0013982521119238988,0.0027965042238477975,0.0,0.001968386992218988,0.0027370907610072283,0.005474181522014457,0.0
4,512,0.006748342497639809,0.007363570416171329,0.014727140832342658,0.005076142131979711,0.0018245341530443006,0.0027057917026706542,0.0054115834053413085,0.0,0.0025345247841734387,0.0060403402322605475,0.012080680464521095,0.0
5,512,0.005626001864142043,0.006430178914023825,0.01286035782804765,0.005076142131979711,0.0015475045236949996,0.003127505508982358,0.006255011017964716,0.0,0.001830246142209634,0.00400083292089155,0.0080016658417831,0.0
6,512,0.003941715591121682,0.0029455766021071763,0.0058911532042143526,0.005076142131979711,0.0005625915101380414,0.0015912548241736619,0.0031825096483473238,0.0,0.0018309220591784,0.0024353700158299464,0.004870740031659893,0.0
7,512,0.006308303463529073,0.009004348751100968,0.018008697502201937,0.005076142131979711,0.002241870339751879,0.0038451493268282936,0.007690298653656587,0.0,0.0028037568659353557,0.004971060346652325,0.00994212069330465,0.0
1,1024,0.02197870245242285,0.010379708225032444,0.020759416450064887,0.02035636589661244,0.011209575469269492,0.008837475282359642,0.017674950564719284,0.005128205128205128,0.009778473016308912,0.0038462443024189345,0.007692488604837869,0.01020408163265306
2,1024,0.004628276919300573,0.004342064256748954,0.008684128513497908,0.005050505050505083,0.0008403408738417114,0.0018790656660583511,0.0037581313321167023,0.0,0.002104412890364646,0.00275736077528844,0.00551472155057688,0.0
3,1024,0.004912385452990349,0.004199755376328202,0.008399510752656403,0.005050505050505083,0.0009834669310134622,0.0020017560683317703,0.004003512136663541,0.0,0.001964099611813647,0.002462143845832368,0.004924287691664736,0.0
4,1024,0.005065474438642563,0.0033777300699167016,0.006755460139833403,0.005076142131979711,0.0014057666341930298,0.0022667402530587425,0.004533480506117485,0.0,0.0021100886575376506,0.002496718841986254,0.004993437683972508,0.0
5,1024,0.00932474954171241,0.018431062363424372,0.036862124726848744,0.005076142131979711,0.0019777690326621836,0.0052974345187802654,0.010594869037560531,0.0,0.004381442519680239,0.011724685793837439,0.023449371587674878,0.0
6,1024,0.004074885986559414,0.0037300980967123493,0.007460196193424699,0.005063323591242397,0.0008424629829029153,0.0018838085364917005,0.003767617072983401,0.0,0.001264057702127918,0.002189426886333112,0.004378853772666224,0.0
7,1024,0.005059100954261434,0.004609079286418567,0.009218158572837134,0.005076142131979711,0.0018280734945701066,0.0024315845842732193,0.004863169168546439,0.0,0.0011237730523669526,0.00210241053467762,0.00420482106935524,0.0
1,1280,0.019830838519448463,0.009184742703077765,0.01836948540615553,0.02020202020202022,0.009218388158569832,0.007876514476493533,0.015753028952987067,0.005128205128205128,0.010042627427248063,0.0041936299151041235,0.008387259830208247,0.010178182948306226
2,1280,0.00547851619729623,0.006136660306985215,0.01227332061397043,0.005050505050505083,0.0009841862293630441,0.003549930288781342,0.007099860577562684,0.0,0.002808691860975275,0.0032566287730608993,0.0065132575461217986,0.002512562814070352
3,1280,0.010869596379731295,0.02431530101976782,0.04863060203953564,0.005050505050505083,0.003102973748066811,0.00762010274695772,0.01524020549391544,0.0,0.005643392986124204,0.015501725816587463,0.031003451633174927,0.0
4,1280,0.0039317887772755845,0.0035864914516981193,0.0071729829033962385,0.005050505050505083,0.0008410458577962766,0.0018806396743269718,0.0037612793486539436,0.0,0.0016835448457846159,0.002659275888940022,0.005318551777880044,0.0
5,1280,0.0036497592999130226,0.0036875078158181687,0.007375015631636337,0.005050505050505083,0.0008431751240549888,0.0018854033499722843,0.0037708066999445687,0.0,0.0012619284358692058,0.0021857360831786144,0.004371472166357229,0.0
6,1280,0.005203709427708931,0.007047453181803301,0.014094906363606602,0.005050505050505083,0.0009870638609571368,0.003565597953633782,0.007131195907267564,0.0,0.002389981820992932,0.003484226195621229,0.006968452391242458,0.0
7,1280,0.004628305657639547,0.0048067843463823106,0.009613568692764621,0.005050505050505083,0.001123075335158837,0.0021011199932800878,0.0042022399865601755,0.0,0.001820987869036913,0.002696250788658569,0.005392501577317138,0.0
1,1518,0.020408012144640848,0.0115113829524436,0.0230227659048872,0.015345368916797442,0.008510156653670433,0.007893576920997621,0.015787153841995243,0.005128205128205128,0.011334551839680313,0.00537147346961298,0.01074294693922596,0.010256410256410256
2,1518,0.00364833490805993,0.004220964115006659,0.008441928230013319,0.0025252525252525415,0.0009813448219522585,0.001997443111534164,0.003994886223068328,0.0,0.0016842281390487737,0.002381876953444007,0.004763753906888014,0.0
3,1518,0.007170577889017809,0.01978052375670448,0.03956104751340896,0.005050505050505083,0.0021093620924416186,0.006024200810636067,0.012048401621272135,0.0,0.003798582376752415,0.014173867119764023,0.028347734239528046,0.0
4,1518,0.004065720982625125,0.004076402857493567,0.008152805714987135,0.005050505050505083,0.0009799347466851655,0.001994576660911397,0.003989153321822794,0.0,0.0018209949188764585,0.002696265736296222,0.005392531472592444,0.0
5,1518,0.003649766566659465,0.004051881428838043,0.008103762857676087,0.005037815339322904,0.0004201704369208557,0.0013935519670044308,0.0027871039340088615,0.0,0.0018238150716016234,0.002425923405782155,0.00485184681156431,0.0
6,1518,0.0037907774528696567,0.0030045948512480904,0.006009189702496181,0.005050505050505083,0.0009827619470588972,0.0020003275629137695,0.004000655125827539,0.0,0.0015411092390745307,0.0026078269970503673,0.005215653994100735,0.0
7,1518,0.004777769303655937,0.007065979657682008,0.014131959315364016,0.005050505050505083,0.0014057737913905385,0.00370503342463606,0.00741006684927212,0.0,0.0022475246331413803,0.0038604886389138806,0.007720977277827761,0.0
