cores,pkt_sz,mwatt_mean,mwatt_stdev,mwatt_95ci,mwatt_median
1,64,1849.4933333333333,216.0368717500685,17.486165585174263,1774.5
2,64,1837.2466666666667,268.7603873754877,21.753641396086664,1706.0
3,64,1794.7866666666666,205.8430983918469,16.66107490766342,1697.5
4,64,1805.56,216.68165527642927,17.538354785180786,1703.0
5,64,1841.4333333333334,207.2074457049156,16.77150607081967,1752.0
6,64,nan,nan,-999.0,nan
7,64,nan,nan,-999.0,nan
1,128,1937.06,304.0003559208443,24.60598748038535,1795.5
2,128,1844.2666666666667,245.85420250402245,19.899599822801747,1703.5
3,128,1867.6466666666668,304.40468977260446,24.638714526589524,1741.0
4,128,1822.8533333333332,233.07770912056108,18.86546209857306,1684.0
5,128,1844.0066666666667,214.86353798528862,17.391195183448758,1752.0
6,128,nan,nan,-999.0,nan
7,128,nan,nan,-999.0,nan
1,256,1932.7866666666666,317.2395222680946,25.677574256671846,1754.5
2,256,1853.4333333333334,253.35172959521884,20.50645456539246,1716.5
3,256,1796.4933333333333,234.12776417066723,18.95045424056707,1659.0
4,256,1839.4,260.20394565289234,21.06107741120229,1669.0
5,256,1803.0533333333333,252.15825154498162,20.40985367203723,1656.5
6,256,nan,nan,-999.0,nan
7,256,nan,nan,-999.0,nan
1,512,1918.4133333333334,320.821013166047,25.967462470549776,1710.5
2,512,1878.5466666666666,248.9508810097999,20.150247004819448,1757.0
3,512,1839.88,272.08836603819236,22.023010163966774,1679.0
4,512,1839.1133333333332,263.5200570903264,21.329485638113397,1669.0
5,512,1821.14,251.272840553849,20.338187927775834,1669.0
6,512,nan,nan,-999.0,nan
7,512,nan,nan,-999.0,nan
1,1024,1882.7866666666666,269.9100735841888,21.84669774916881,1718.5
2,1024,1863.28,250.30600259149466,20.25993143124913,1730.0
3,1024,1823.98,222.06688091653828,17.974238467876376,1671.5
4,1024,1809.3866666666668,227.1014394983489,18.381738929703374,1659.0
5,1024,1825.12,204.89170863328428,23.72937714581758,1679.0
6,1024,nan,nan,-999.0,nan
7,1024,nan,nan,-999.0,nan
1,1280,1837.9066666666668,246.08414134645537,19.918211222979266,1708.5
2,1280,1783.1533333333334,175.38410177537634,14.195703815778415,1674.0
3,1280,1789.82,200.66223926455785,16.241732784074202,1659.0
4,1280,1803.86,206.25153025694945,16.694133649745595,1669.0
5,1280,1831.36,228.02664405722413,18.45662559134405,1671.5
6,1280,nan,nan,-999.0,nan
7,1280,nan,nan,-999.0,nan
1,1518,1877.78,224.4083441704727,18.163758033857107,1787.0
2,1518,1791.5466666666666,183.81663278628758,14.878238386680323,1669.0
3,1518,1774.4266666666667,172.37650058971366,13.952266610265156,1654.0
4,1518,1802.66,188.8902619688656,15.288901248467027,1664.0
5,1518,1795.1333333333334,189.09583695987482,15.305540622587955,1666.5
6,1518,nan,nan,-999.0,nan
7,1518,nan,nan,-999.0,nan
